name,latitude,longitude,reference_code
Pórtico,-34.59401758,-70.97313410000001,
Pórtico,-33.282975677777785,-70.70261787777778,
Pórtico,-33.39997375,-70.62001456666667,
Pórtico,-33.4799235,-70.52345006,
P3 Ruta 68 - Costanera Norte,-33.4387137,-70.7831378,P3
P14 Guanaco - El Salto,-33.3886039,-70.6333164,P14
PA32 - Las Acacias - Lo Blanco,-33.5588804,-70.7105862,PA32
Peaje Troncal Lo Prado,-33.456415,-70.8986965,
Pórtico,-34.5721238,-70.9727459,
P00 Puente Padre Arteaga - Puente San Francisco,-33.3710033,-70.52258,P00
Pórtico,-33.0618463,-71.4574933,
Pórtico,-33.1614997,-71.5420524,
Peaje Chillán,-36.5592814,-72.0951782,
Pórtico,-41.4391014,-72.9560374,
Peaje Troncal Agua Amarilla,-36.73008,-72.8602168,
Peaje Los Libertadores,-33.3108701,-70.7021396,
Pórtico,-35.2096629,-71.411335,
Pórtico,-32.9349726,-71.2882514,
Pórtico,-40.5838511,-73.0976482,
Pórtico,-40.5900362,-73.0980545,
Pórtico,-40.5948312,-73.0991104,
Pórtico,-40.8085086,-73.167507,
Pórtico,-41.2145489,-73.0559456,
Peaje Troncal Sur Rutas del Pacífico,-33.0629256,-71.4340409,
Peaje Los Libertadores,-33.3107111,-70.7024802,
Pórtico,-33.2829646,-70.7026824,
Pórtico,-32.7530363,-71.2531963,
Pórtico,-33.3667686,-71.3085059,
PA28 - Río Mapocho - Ruta 5 Norte,-33.3822386,-70.6955624,PA28
Peaje Troncal F-962-G,-33.4716367,-71.4732192,
Peaje Troncal Nuevo Camino Costero,-33.4824603,-71.5817033,
PA16 - Río Mapocho - 14 de la Fama - Américo Vespucio Norte,-33.4171865,-70.6787232,PA16
Pórtico,-32.6296534,-71.2305687,
Peaje Tunel el Melon,-32.629614,-71.2308575,
Peaje Troncal Sur Rutas del Pacífico,-33.063448,-71.4341262,
Pórtico,-33.0615109,-71.4570914,
Pórtico,-36.6259327,-72.1605395,
Pórtico,-34.9939598,-71.2324018,
Pórtico,-34.9827166,-71.2150519,
Pórtico,-35.0507825,-71.2822855,
Pórtico,-35.0491835,-71.2800331,
Pórtico,-36.7558145,-72.2953096,
Peaje Pilpilco,-37.5744468,-73.4153504,
Peaje Troncal Queime,-36.7510609,-72.5858885,
Pórtico,-33.3055197,-71.4112151,
Pórtico,-33.3286015,-71.3903578,
Pórtico,-40.5619131,-73.1003597,
Peaje Talcahuano,-36.7327137,-73.0882272,
Salida San Carlos,-36.4399874,-71.9624817,
Entrada Valle Hermoso,-36.9159693,-71.4255389,
Pórtico,-36.4141217,-71.9459703,
Pórtico,-33.8184073,-70.7512517,
Pórtico,-33.8220592,-70.7514388,
Pórtico,-33.8522053,-70.7487693,
Pórtico,-33.6634661,-70.6690348,
Pórtico,-33.6632321,-70.6692567,
Pórtico,-32.9349804,-71.2883614,
Peaje Troncal San Pedro,-33.8245701,-71.5264235,
Peaje San José,-33.2700796,-70.7354601,
Pórtico,-34.0376183,-70.7059143,
Peaje Llay Llay,-32.8437626,-70.9891887,
Peaje Llay Llay,-32.8438425,-70.9892257,
Peaje Troncal Agua Amarilla,-36.7299896,-72.8602089,
Peaje Ramal Alessandri,-36.7693196,-73.0506988,
Peaje Las Maicas,-37.8064228,-72.3310253,
Peaje Las Maicas,-37.8066414,-72.3307601,
Troncal Quepe,-38.9157453,-72.624257,
Púa,-38.3628243,-72.3858908,
Peaje Santa Clara,-36.9092861,-72.3423701,
Peaje Santa Clara,-36.9093532,-72.3419253,
PA2 - Los Guindos - La Capilla,-33.6473389,-70.7116107,PA2
Pórtico,-33.0007885,-70.6872448,
Pórtico,-38.664489,-72.4887747,
Peaje Lateral Licanco,-38.7823848,-72.6116859,
Pórtico,-34.2365624,-70.7921531,
P64 Troncal Oriente,-33.3113183,-70.6342524,P64
Pórtico,-32.9721136,-71.3009553,
Américo Vespucio,-33.4848651,-70.7410211,T1
